"product_id","product_name","category","price","stock_quantity","supplier_name","supplier_city","supply_date","order_item_id","order_id","product_id-2","quantity","total_price","total_price-2"
5,"Microwave Oven","Kitchen",10000,60,"Samsung India","Kolkata","2023-04-01",7,106,5,1,10000,10000
17,"Vacuum Cleaner","Home Appliances",7000,45,"Eureka Forbes","Hyderabad","2023-07-01",30,129,17,2,14000,14000
17,"Vacuum Cleaner","Home Appliances",7000,45,"Eureka Forbes","Hyderabad","2023-07-01",30,129,17,2,14000,14000
2,"Smartphone","Electronics",15000,120,"Bajaj Tech","Bengaluru","2023-03-15",4,103,2,1,15000,15000
2,"Smartphone","Electronics",15000,120,"Bajaj Tech","Bengaluru","2023-03-15",12,111,2,1,15000,15000
2,"Smartphone","Electronics",15000,120,"Bajaj Tech","Bengaluru","2023-03-15",4,103,2,1,15000,15000
2,"Smartphone","Electronics",15000,120,"Bajaj Tech","Bengaluru","2023-03-15",12,111,2,1,15000,15000
5,"Microwave Oven","Kitchen",10000,60,"Samsung India","Kolkata","2023-04-01",25,124,5,2,20000,20000
5,"Microwave Oven","Kitchen",10000,60,"Samsung India","Kolkata","2023-04-01",25,124,5,2,20000,20000
13,"Smartwatch","Wearable Tech",12000,180,"Xiaomi India","Delhi","2023-06-05",15,114,13,2,24000,24000
13,"Smartwatch","Wearable Tech",12000,180,"Xiaomi India","Delhi","2023-06-05",15,114,13,2,24000,24000
4,"Washing Machine","Home Appliances",25000,20,"LG Electronics","Chennai","2023-02-22",28,127,4,1,25000,25000
4,"Washing Machine","Home Appliances",25000,20,"LG Electronics","Chennai","2023-02-22",5,104,4,1,25000,25000
4,"Washing Machine","Home Appliances",25000,20,"LG Electronics","Chennai","2023-02-22",28,127,4,1,25000,25000
4,"Washing Machine","Home Appliances",25000,20,"LG Electronics","Chennai","2023-02-22",5,104,4,1,25000,25000
3,"Refrigerator","Home Appliances",30000,30,"Whirlpool India","Delhi","2023-05-10",3,102,3,1,30000,30000
3,"Refrigerator","Home Appliances",30000,30,"Whirlpool India","Delhi","2023-05-10",14,113,3,1,30000,30000
3,"Refrigerator","Home Appliances",30000,30,"Whirlpool India","Delhi","2023-05-10",3,102,3,1,30000,30000
3,"Refrigerator","Home Appliances",30000,30,"Whirlpool India","Delhi","2023-05-10",14,113,3,1,30000,30000
6,"Air Conditioner","Electronics",35000,25,"Voltas Ltd","Ahmedabad","2022-12-25",9,108,6,1,35000,35000
6,"Air Conditioner","Electronics",35000,25,"Voltas Ltd","Ahmedabad","2022-12-25",24,123,6,1,35000,35000
15,"Gaming Console","Electronics",35000,50,"Microsoft India","Pune","2023-04-10",17,116,15,1,35000,35000
15,"Gaming Console","Electronics",35000,50,"Microsoft India","Pune","2023-04-10",17,116,15,1,35000,35000
6,"Air Conditioner","Electronics",35000,25,"Voltas Ltd","Ahmedabad","2022-12-25",9,108,6,1,35000,35000
6,"Air Conditioner","Electronics",35000,25,"Voltas Ltd","Ahmedabad","2022-12-25",24,123,6,1,35000,35000
8,"Television","Electronics",40000,40,"Sony India","Mumbai","2023-01-30",23,122,8,1,40000,40000
8,"Television","Electronics",40000,40,"Sony India","Mumbai","2023-01-30",8,107,8,1,40000,40000
8,"Television","Electronics",40000,40,"Sony India","Mumbai","2023-01-30",23,122,8,1,40000,40000
8,"Television","Electronics",40000,40,"Sony India","Mumbai","2023-01-30",8,107,8,1,40000,40000
1,"Laptop","Electronics",45000,50,"Tata Electronics","Mumbai","2023-01-05",1,101,1,1,45000,45000
1,"Laptop","Electronics",45000,50,"Tata Electronics","Mumbai","2023-01-05",1,101,1,1,45000,45000
14,"DSLR Camera","Electronics",55000,30,"Nikon India","Mumbai","2022-09-08",16,115,14,1,55000,55000
14,"DSLR Camera","Electronics",55000,30,"Nikon India","Mumbai","2022-09-08",29,128,14,1,55000,55000
14,"DSLR Camera","Electronics",55000,30,"Nikon India","Mumbai","2022-09-08",16,115,14,1,55000,55000
14,"DSLR Camera","Electronics",55000,30,"Nikon India","Mumbai","2022-09-08",29,128,14,1,55000,55000
